,Value,Unit
Diversion,27.10049063912364,%
GWP,-456.93503421670215,kg CO2/Mg
Operation Cost,2.4602014524790543,$/Mg
Capital cost,4.49576980642304,$/Mg
Total cost,6.96,$/Mg
SF,74826,Mg/yr
MF,74826,Mg/yr
COM,87511,Mg/yr
LF,172890,Mg/yr
WTE,0,Mg/yr
Composting,0,Mg/yr
AD,9294,Mg/yr
SS_MRF,63572,Mg/yr
Reprocessing,55489,Mg/yr
