,New RDF Comp
Yard_Trimmings_Leaves,0.020711457689684565
Yard_Trimmings_Grass,0.044788527253942854
Yard_Trimmings_Branches,0.026034302315933497
Food_Waste_Vegetable,0.17853916833160907
Food_Waste_Non_Vegetable,0.0939136665790545
Wood,0.00591202866931058
Wood_Other,0.00591202866931058
Textiles,0.10278475033297803
Rubber_Leather,0.0
Newsprint,0.010695728240035379
Corr_Cardboard,0.017960478379124598
Office_Paper,0.0
Magazines,0.0
Third_Class_Mail,0.0
Folding_Containers,0.001902426749531169
Paper_Bags,0.0
Mixed_Paper,0.07387550649687712
Paper_Non_recyclable,0.12524825836899886
HDPE_Translucent_Containers,0.0052115338643509024
HDPE_Pigmented_Containers,0.006556245931610053
PET_Containers,0.028344299519073975
Plastic_Other_1_Polypropylene,0.0
Plastic_Other_2,0.0
Mixed_Plastic,0.0
Plastic_Film,0.06943754355292227
Plastic_Non_Recyclable,0.08860433813370354
Ferrous_Cans,7.308603038049253e-06
Ferrous_Metal_Other,0.00017061938057685389
Aluminum_Cans,5.9083054074040455e-05
Aluminum_Foil,3.8998715560412915e-06
Aluminum_Other,0.00010685648063555666
Ferrous_Non_recyclable,0.00028505417093951257
Al_Non_recyclable,0.00042861406137645726
Glass_Brown,0.0
Glass_Green,0.0
Glass_Clear,0.0
Mixed_Glass,0.0
Glass_Non_recyclable,0.0
Misc_Organic,0.05367280853396307
Misc_Inorganic,0.0
E_waste,0.0
Bottom_Ash,0.0
Fly_Ash,0.0
Diapers_and_sanitary_products,0.03883346676578881
