,New RDF Comp
Yard_Trimmings_Leaves,0.040471466832691524
Yard_Trimmings_Grass,0.08132870235318529
Yard_Trimmings_Branches,0.04527063364524836
Food_Waste_Vegetable,0.13788410764948011
Food_Waste_Non_Vegetable,0.07252863465955313
Wood,0.0070245204147641686
Wood_Other,0.007024520414765624
Textiles,0.09271390334148143
Rubber_Leather,0.0
Newsprint,0.008349482880826976
Corr_Cardboard,0.01818974899957555
Office_Paper,0.00032146108000612926
Magazines,0.00015482762938002744
Third_Class_Mail,0.0
Folding_Containers,0.0015840019206269638
Paper_Bags,0.00030261730778871095
Mixed_Paper,0.06593448408825123
Paper_Non_recyclable,0.13171884494421987
HDPE_Translucent_Containers,0.0048139394641005685
HDPE_Pigmented_Containers,0.005423504146479755
PET_Containers,0.022508551491323765
Plastic_Other_1_Polypropylene,0.0013150110975727256
Plastic_Other_2,0.0
Mixed_Plastic,0.010091700076105858
Plastic_Film,0.06969756645400302
Plastic_Non_Recyclable,0.08803950755902848
Ferrous_Cans,6.722625610638147e-06
Ferrous_Metal_Other,0.00016301217830566987
Aluminum_Cans,4.926642996979252e-05
Aluminum_Foil,4.364995548013177e-06
Aluminum_Other,7.317086642152664e-05
Ferrous_Non_recyclable,0.0003371950785803789
Al_Non_recyclable,0.0003776806063880855
Glass_Brown,0.0
Glass_Green,0.0
Glass_Clear,0.0
Mixed_Glass,0.0
Glass_Non_recyclable,0.0
Misc_Organic,0.0502166027682746
Misc_Inorganic,0.0
E_waste,0.0
Bottom_Ash,0.0018612633309842005
Fly_Ash,0.0
Diapers_and_sanitary_products,0.03421898266945766
