,Value,Unit
Diversion,86.82387736916736,%
GWP,137.81756739028256,kg CO2/Mg
Operation Cost,33.953603181325676,$/Mg
Capital cost,36.04552810778325,$/Mg
Total cost,69.99913128910893,$/Mg
CED,-8597.551324887667,MJ eq/Mg
Acidification,-5.250888509854665,kg SO2 eq/Mg
Eutrophication,-1.366686163225503,kg N eq/Mg
Photochemical smog,-18.86225558279282,kg O3 eq/Mg
Ecotoxicity,-5623.825811899798,CTU/Mg
Human toxicity,-0.00022873081696667743,CTU/Mg
SF,306600,Mg/yr
MF,102200,Mg/yr
COM,52595,Mg/yr
LF,60794,Mg/yr
WTE,175042,Mg/yr
RDF,183374,Mg/yr
GC,149649,Mg/yr
Composting,0,Mg/yr
AD,16266,Mg/yr
AnF,19969,Mg/yr
SS_MRF,115005,Mg/yr
Reprocessing,104777,Mg/yr
