,New RDF Comp
Yard_Trimmings_Leaves,0.046335873681057266
Yard_Trimmings_Grass,0.09593647157451993
Yard_Trimmings_Branches,0.05438499126134115
Food_Waste_Vegetable,0.14275465984391258
Food_Waste_Non_Vegetable,0.07509060142078763
Wood,0.007054357273270133
Wood_Other,0.007054357273266082
Textiles,0.09068627196813422
Rubber_Leather,0.0
Newsprint,0.007568595653858761
Corr_Cardboard,0.01698363691213278
Office_Paper,0.0002214536223600493
Magazines,0.00010666031286578306
Third_Class_Mail,0.0
Folding_Containers,0.0015392204458156186
Paper_Bags,0.00020847220136091703
Mixed_Paper,0.0591829133828538
Paper_Non_recyclable,0.12341637181512491
HDPE_Translucent_Containers,0.004382881926976673
HDPE_Pigmented_Containers,0.004852840431161014
PET_Containers,0.02077981301999174
Plastic_Other_1_Polypropylene,0.0009059073994112263
Plastic_Other_2,0.0
Mixed_Plastic,0.0069521434370304865
Plastic_Film,0.06634404200184832
Plastic_Non_Recyclable,0.08271692684244183
Ferrous_Cans,5.9206135813203705e-06
Ferrous_Metal_Other,0.00015734544257548703
Aluminum_Cans,4.648480931575801e-05
Aluminum_Foil,4.5097862365775605e-06
Aluminum_Other,6.446867816913896e-05
Ferrous_Non_recyclable,0.0003069604015951859
Al_Non_recyclable,0.00037199509074034527
Glass_Brown,0.0
Glass_Green,0.0
Glass_Clear,0.0
Mixed_Glass,0.0
Glass_Non_recyclable,0.0
Misc_Organic,0.048596726844891365
Misc_Inorganic,0.0
E_waste,0.0
Bottom_Ash,0.0012822190070552973
Fly_Ash,0.0
Diapers_and_sanitary_products,0.033703905624316556
