,Objective,Time,Ratio
0,19019478.415084645,179,1.0000000000038176
1,19019478.415089834,169,1.0000000000040905
2,19019478.415081598,210,1.0000000000036575
3,19019478.415417273,220,1.0000000000213065
4,19019478.416511215,170,1.0000000000788234
5,19021736.83296807,170,1.0001187423706768
6,19019478.41505032,169,1.0000000000020128
7,19019478.520058993,189,1.000000005523125
8,19019483.101060495,219,1.000000246381544
9,19019479.653205715,219,1.0000000651013479
10,19019478.41508144,220,1.0000000000036493
11,19019478.415091686,188,1.0000000000041878
12,19019478.415158056,210,1.0000000000076774
13,19019478.415049717,201,1.0000000000019813
14,19019483.57401678,200,1.000000271248487
15,19019478.415012036,238,1.0
16,19019478.419251736,198,1.0000000002229137
17,19019478.424706627,259,1.0000000005097192
18,19019479.183201075,187,1.0000000403895954
19,19019479.055652104,218,1.0000000336833668
20,19019478.415081494,198,1.000000000003652
21,19019508.176092606,178,1.0000015647684926
22,19019478.41508959,230,1.0000000000040776
23,19019478.41509015,188,1.0000000000041072
24,19019478.415089794,242,1.0000000000040883
25,19019478.41509417,208,1.0000000000043185
26,19019478.415176634,239,1.0000000000086542
27,19019478.41509588,210,1.0000000000044085
28,19019485.501144394,169,1.000000372572381
29,19019478.41504604,230,1.000000000001788
30,19019478.41504533,230,1.0000000000017504
31,19019478.415139966,241,1.0000000000067262
32,19019481.21023587,283,1.000000146966377
33,19019481.922457088,191,1.0000001844133144
34,19019478.415093224,212,1.0000000000042688
35,19019496.681243993,203,1.0000009603960507
36,19019478.415089108,184,1.0000000000040523
37,19019478.41512031,231,1.0000000000056928
38,19019478.41514677,241,1.0000000000070841
39,19019484.83384555,201,1.0000003374873576
40,19019484.881447487,247,1.000000339990157
41,19019491.41636289,216,1.0000006835808306
42,19019478.415071357,240,1.000000000003119
43,19019478.415148776,261,1.0000000000071896
44,19019500.768452115,205,1.0000011752919609
45,19019478.415089846,168,1.0000000000040912
46,19019488.926247023,191,1.000000552656322
47,19019478.4150882,209,1.0000000000040046
48,19019478.41507381,114,1.0000000000032478
49,19019478.41512888,136,1.0000000000061433
